Oracle Linux Release,Architectures,RHEL base,Oracle Linux release date,RHEL release date,Days after RHEL release
4.5,"i386, x86-64",4.5,?,2007-05-01,?
4.6,2007-12-10[47],2007-11-16,24,,
4.7,2008-08-05[48],2008-07-24,12,,
4.8,2009-05-26[49],2009-05-18,8,,
4.9,?,2011-02-16,?,,
5.0,5,2007-06-26[50],2007-03-14,104,
5.1,2007-11-26[51],2007-11-07,19,,
5.2,2008-06-02[52],2008-05-21,12,,
5.3,2009-01-28[53],2009-01-20,8,,
5.4,"i386, x86-64, ia64",5.4,2009-09-09[54],2009-09-02,7
5.5,2010-04-07[55],2010-03-31,,,
5.6,2011-01-22[56],2011-01-13,9,,
5.7,2011-08-16[57],2011-07-21,26,,
5.8,2012-03-02[58],2012-02-21,10,,
5.9,2013-01-16[59],2013-01-07,9,,
5.10,2013-10-08[60],2013-10-01,7,,
5.11,2014-09-23[61],2014-09-16,,,
6.0,"i386, x86-64",6,2011-02-11[62],2010-11-10,93
6.1,2011-06-01,2011-05-19,13,,
6.2,2011-12-15,2011-12-06,9,,
6.3,2012-06-28[63],2012-06-21,7,,
6.4,2013-02-28[64],2013-02-21,,,
6.5,2013-11-27[65],2013-11-21,6,,
6.6,2014-10-21[66],2014-10-14,7,,
6.7,2015-07-31[67],2015-07-22,9,,
SPARC,2017-03-31[37],618,,,
6.8,"i386, x86-64",6.8,2016-05-16[68],2016-05-10,6
6.9,2017-03-28[69],2017-03-21,7,,
6.10,2018-07-02[70],2018-06-19,13,,
7.0,x86-64,7.0,2014-07-23[71],2014-06-10,43
7.1,2015-03-12[72],2015-03-05,7,,
7.2,2015-11-25[73],2015-11-19,6,,
7.3,2016-11-10[74],2016-11-03,6,,
7.4,2017-08-08[75],2017-07-31,8,,
7.5,2018-04-17[76],2018-04-10,7,,
7.6,"x86-64, ARM64",7.6,2018-11-07[77],2018-10-30,8
7.7,2019-08-15[78],2019-08-06,9,,
7.8,2020-04-08[79],2020-03-31,8,,
7.9,2020-10-07[80],2020-09-29,8,,
8.0,2019-07-18[81],2019-05-07,72,,
8.1,2019-11-15[82],2019-11-05,10,,
8.2,2020-05-06[83],2020-04-28,8,,
8.3,2020-11-13[84],2020-11-03[85],10,,
8.4,2021-05-26[86],2021-05-18,8,,
8.5,2021-11-16[87],2021-11-09,7,,
8.6,2022-05-16[88],2022-05-10,6,,
8.7,2022-11-16[89],2022-11-09,7,,
8.8,2023-05-24[90],2023-05-16,8,,
8.9,2023-11-21[91],2023-11-14[92],7,,
8.10,2024-05-29[93],2024-05-22[94],7,,
9.0,2022-06-30[41],2022-05-17[95],44,,
9.1,2022-11-23[96],2022-11-15,8,,
9.2,2023-05-24[90],2023-05-10,14,,
9.3,2023-11-15[97],2023-11-08,7,,
9.4,2024-05-06[98],2024-04-30,6,,
Version,"End of Premier
Support[99]","End of Extended
Support"
3,31 October 2011,—
4,28 February 2013,—
5,30 June 2017,30 November 2020
6,31 March 2021,31 December 2024
7,31 December 2024,30 June 2028
8,31 July 2029,31 July 2032
9,30 June 2032,30 June 2035
"Legend:
Old version, not maintained
Old version, still maintained
Latest version",,
